Iteration 0: global_minimum_number_colours_used = 21 ;    number_iterations_to_find_global_minimum = 0 ;    current_iteration_minimum_number_colours_used = 21 ;    number_ants_to_find_current_iteration_minimum = 0 ;
Iteration 1: global_minimum_number_colours_used = 21 ;    number_iterations_to_find_global_minimum = 0 ;    current_iteration_minimum_number_colours_used = 21 ;    number_ants_to_find_current_iteration_minimum = 1 ;
Iteration 2: global_minimum_number_colours_used = 20 ;    number_iterations_to_find_global_minimum = 2 ;    current_iteration_minimum_number_colours_used = 20 ;    number_ants_to_find_current_iteration_minimum = 1 ;
Iteration 3: global_minimum_number_colours_used = 20 ;    number_iterations_to_find_global_minimum = 2 ;    current_iteration_minimum_number_colours_used = 20 ;    number_ants_to_find_current_iteration_minimum = 5 ;
Iteration 4: global_minimum_number_colours_used = 20 ;    number_iterations_to_find_global_minimum = 2 ;    current_iteration_minimum_number_colours_used = 20 ;    number_ants_to_find_current_iteration_minimum = 9 ;
Iteration 5: global_minimum_number_colours_used = 20 ;    number_iterations_to_find_global_minimum = 2 ;    current_iteration_minimum_number_colours_used = 21 ;    number_ants_to_find_current_iteration_minimum = 0 ;
Iteration 6: global_minimum_number_colours_used = 19 ;    number_iterations_to_find_global_minimum = 6 ;    current_iteration_minimum_number_colours_used = 19 ;    number_ants_to_find_current_iteration_minimum = 5 ;
Iteration 7: global_minimum_number_colours_used = 19 ;    number_iterations_to_find_global_minimum = 6 ;    current_iteration_minimum_number_colours_used = 20 ;    number_ants_to_find_current_iteration_minimum = 3 ;
Iteration 8: global_minimum_number_colours_used = 19 ;    number_iterations_to_find_global_minimum = 6 ;    current_iteration_minimum_number_colours_used = 20 ;    number_ants_to_find_current_iteration_minimum = 0 ;
Iteration 9: global_minimum_number_colours_used = 19 ;    number_iterations_to_find_global_minimum = 6 ;    current_iteration_minimum_number_colours_used = 20 ;    number_ants_to_find_current_iteration_minimum = 0 ;
Iteration 10: global_minimum_number_colours_used = 19 ;    number_iterations_to_find_global_minimum = 6 ;    current_iteration_minimum_number_colours_used = 21 ;    number_ants_to_find_current_iteration_minimum = 0 ;
Iteration 11: global_minimum_number_colours_used = 19 ;    number_iterations_to_find_global_minimum = 6 ;    current_iteration_minimum_number_colours_used = 20 ;    number_ants_to_find_current_iteration_minimum = 3 ;
Iteration 12: global_minimum_number_colours_used = 19 ;    number_iterations_to_find_global_minimum = 6 ;    current_iteration_minimum_number_colours_used = 21 ;    number_ants_to_find_current_iteration_minimum = 3 ;
Iteration 13: global_minimum_number_colours_used = 19 ;    number_iterations_to_find_global_minimum = 6 ;    current_iteration_minimum_number_colours_used = 20 ;    number_ants_to_find_current_iteration_minimum = 1 ;
Iteration 14: global_minimum_number_colours_used = 19 ;    number_iterations_to_find_global_minimum = 6 ;    current_iteration_minimum_number_colours_used = 20 ;    number_ants_to_find_current_iteration_minimum = 3 ;
Iteration 15: global_minimum_number_colours_used = 19 ;    number_iterations_to_find_global_minimum = 6 ;    current_iteration_minimum_number_colours_used = 20 ;    number_ants_to_find_current_iteration_minimum = 1 ;
Iteration 16: global_minimum_number_colours_used = 19 ;    number_iterations_to_find_global_minimum = 6 ;    current_iteration_minimum_number_colours_used = 20 ;    number_ants_to_find_current_iteration_minimum = 0 ;
Iteration 17: global_minimum_number_colours_used = 19 ;    number_iterations_to_find_global_minimum = 6 ;    current_iteration_minimum_number_colours_used = 20 ;    number_ants_to_find_current_iteration_minimum = 2 ;
Iteration 18: global_minimum_number_colours_used = 19 ;    number_iterations_to_find_global_minimum = 6 ;    current_iteration_minimum_number_colours_used = 20 ;    number_ants_to_find_current_iteration_minimum = 3 ;
Iteration 19: global_minimum_number_colours_used = 19 ;    number_iterations_to_find_global_minimum = 6 ;    current_iteration_minimum_number_colours_used = 19 ;    number_ants_to_find_current_iteration_minimum = 3 ;
